n,threads,generations,time
64,serial,1000,0.105779
64,2,1000,0.089432
64,4,1000,0.052443
64,6,1000,0.072438
64,8,1000,0.063880
1024,serial,1000,21.042273
1024,2,1000,14.653795
1024,4,1000,11.255355
1024,6,1000,9.115087
1024,8,1000,8.418264
4096,serial,1000,343.857274
4096,2,1000,244.140097
4096,4,1000,181.922953
4096,6,1000,163.616142
4096,8,1000,139.970003
