n,threads,generations,time
64,serial,1000,0.115927
64,2,1000,0.387502
64,4,1000,0.191312
64,6,1000,0.160393
64,8,1000,0.302772
1024,serial,1000,24.258956
1024,2,1000,7.577488
1024,4,1000,7.936960
1024,6,1000,7.741299
1024,8,1000,7.832923
4096,serial,1000,391.057749
4096,2,1000,134.421904
4096,4,1000,141.954318
4096,6,1000,161.120747
4096,8,1000,126.725604
