n,threads,generations,time
64,serial,1000,0.077433
64,2,1000,0.065538
64,4,1000,0.050851
64,6,1000,0.048601
64,8,1000,0.080155
1024,serial,1000,21.022870
1024,2,1000,14.094167
1024,4,1000,9.789553
1024,6,1000,8.456660
1024,8,1000,7.673300
4096,serial,1000,375.928736
4096,2,1000,265.747052
4096,4,1000,201.646769
4096,6,1000,141.398395
4096,8,1000,125.803472
