n,threads,generations,time
64,serial,1000,0.195775
64,2,1000,85.034410
64,4,1000,76.477943
64,6,1000,84.963412
64,8,1000,100.236488
1024,serial,1000,52.682769
1024,2,1000,109.185664
1024,4,1000,109.479286
1024,6,1000,108.832660
1024,8,1000,109.011517
4096,serial,1000,798.074805
4096,2,1000,752.947552
4096,4,1000,694.097925
4096,6,1000,671.926278
4096,8,1000,711.238947
